read_id,meter_id,customer_id,read_timestamp,read_type,units_consumed,cumulative_reading,voltage_v,current_a,power_factor,peak_demand_kw,reactive_units_kvar,tamper_flag,outage_flag,quality_flag,created_at
RD00048931,MTR001794,CUST001794,2024-11-21 12:24:18,Automatic,1.6672,29649.77,220.8,17.53,0.886,9.523,0.6214,0,0,Good,2024-11-21 12:40:18
RD00007429,MTR000205,CUST000205,2023-03-10 01:55:13,Automatic,0.0803151,123261.69,0,UNKNOWN,0.771,393.498,21.2535,0,0,Suspect,2023-03-10 02:07:13
RD00010567,MTR000264,CUST000264,2022-04-16 14:12:33,Automatic,1.7026,26323.77,199.8,10.98,0.741,9.115,0.3679,0,0,Good,2022-04-16 14:23:33
RD00025070,0,CUST000506,2024-12-16 16:00:53,Automatic,1.8553,246357.21,223.1,11.77,0.998,9.163,N/A,0,0,Estimated,2024-12-16 16:16:53
RD00041245,MTR000169,CUST000169,2024-07-03 00:42:44,Automatic,1.3256,77.98975,207.8,11.91,0.914,6.465,0.1769,0,0,Invalid,2024-07-03 00:45:44
RD00044631,MTR004202,CUST004202,2022-03-12 04:44:08,Manual,7.9855,186374.46,238.1,30.27,0.987,35.899,0,0,1,Good,2022-03-12 05:05:08
RD00004823,MTR001888,CUST001888,2022-07-28 15:53:15,Estimated,,306783.13,240.6,28.74,0.986,,0.2816,0,0,N/A,2022-07-28 16:06:15
RD00030028,MTR001208,CUST001208,2023-02-21 11:52:29,Manual,2.3385,400580.95,228.9,,0.931,12.965,0.6204,0,1,Good,2023-02-21 11:56:29
RD00002952,MTR001716,-,2024-01-16 16:39:10,Revised,7.7761,14154.01,224.9,2.22,0.757,33.451,2.0063,0,0,Good,2024-01-16 17:08:10
RD00029693,MTR000704,CUST000704,2023-03-17 20:40:23,Automatic,10.3827,344048.94,226.7,45.15,0.844,34.708,3.6582,0,0,Good,2023-03-17 20:57:23
RD00044712,MTR003346,CUST003346,2023-01-25 16:11:14,Automatic,11.8456,328085.19,228.0,26.05,0.881,64.458,2.8973,0,0,Good,2023-01-25 16:25:14
RD00030392,MTR001671,,2022-06-25 11:34:16,Automatic,2.6957,224985.7 kWh,215.0,22.75,0.769,10.445,0.4947,0,0,,2022-06-25 11:59:16
RD00036314,MTR001956,CUST001956,2024-10-18 06:52:21,Estimated,15.538,52509.29,244.7,23.97,0.824,89.784,2.4325,0,0,,2024-10-18 06:57:21
RD00031020,N/A,CUST003519,2022-04-15 14:16:33,Automatic,0.6312,388696.18,240.2,0.79,0.819,2.919,0.2298,0,UNKNOWN,Good,2022-04-15 14:28:33
RD00043981,N/A,CUST001921,2023-02-24 10:44:54,Automatic,2.5187,242087.25,235.9,37.15,0,7.939,0.3161,0,0,Good,2023-02-24 11:13:54
RD00038155,MTR004822,CUST004822,2023-04-18 03:44:26,Revised,105.89999999999999,210724.12,215.5,22.62,0.807,0.624,0.0124,0,0,Good,2023-04-18 04:03:26
RD00027163,MTR002988,CUST002988,2023-03-13 08:20:52,Estimated,1.5269,338898.78,219.9,49.12,0.71,-,0.3585,0,0,,2023-03-13 08:38:52
RD00018295,  MTR004645,CUST004645,2023-08-15 12:09:33,Automatic,1.0451,"68604,44",226.0,0,0.975,5.237,0.3685,0,0,Good,2023-08-15 12:26:33
RD00033756,  MTR000332,-,2022-12-13 14:49:12,Automatic,7.3995,339428.92,223.9,42.38,0.717,23.975,1.769,0,0,Good,2022-12-13 14:50:12
RD00015334,MTR004664,CUST004664,2024-11-06 23:28:56,Automatic,-,417252.98,241.8,13.46,0.844,1.502,0.108,0,0,Good,2024-11-06 23:56:56
RD00026469,MTR000244,CUST000244,2022-09-23 07:30:29,Automatic,0.0177907,328688.04,246.4,46.12,0.784,102.817,0,0,0,Good,2022-09-23 07:47:29
RD00037702,MTR001905,CUST001905,2024-03-28 06:58:57,Automatic,1.8666,476512.19,236.3,29.1,0.812,10.908,0.6688,1,0,Estimated,2024-03-28 07:17:57
RD00024608,MTR000851,CUST000851,2023-03-22 11:39:04,,0.269,219396.43,228.6,6.43,NULL,1.238,N/A,0,0,Good,2023-03-22 12:09:04
RD00002339,MTR002949,CUST002949,N/A,Automatic,14.1701,194909.41,229.3,15.71,0.713,53.451,5.6597,0,0,Estimated,2022-04-15 22:43:41
RD00024631,MTR004469,CUST004469,2024-09-17 22:50:34,Manual,2.1934,107981.32,219.2,11.76,0.845,13.059,0.4501,0,0,Good,2024-09-17 23:15:34
RD00047819,MTR001175,CUST001175,2023-07-16 22:40:44,Automatic,0.6071,97885.14,210.7,6.36,0.737,2.697,0.1679,0,0,-,2023-07-16 23:09:44
RD00019275,MTR002448,CUST002448,2024-04-05 09:34:29,Automatic,NULL,196166.31,223.4,42.72,N/A,7.361,0.2009,0,0,Good,2024-04-05 09:41:29
RD00042950,MTR002107,CUST002107,2023-05-22 15:11:39,Automatic,1.5077,44109.23,226.4,39.39,0.786,4.874,0.264,0,0,Good,2023-05-22 15:26:39
RD00031664,MTR002692,CUST002692,2022-12-01 05:34:49,Manual,0.5783,189903.41,225.4,35.54,0.989,3.117,0.1179,0,1,Invalid,2022-12-01 05:58:49
RD00047520,MTR004325,CUST004325,NULL,Estimated,0.1666,260900.4,220.1,41.41,0.952,0.625,0.0357,0,0,,
RD00044737,MTR003398,CUST003398,2024-10-30 10:58:16,Manual,183303.8,419624.33,235.4,19.76,0.735,1075.457,24.4928,0,0,Good,2024-10-30 11:20:16
RD00018633,MTR004673,CUST004673,2022-09-26 13:39:36,Estimated,10.043,423208690.0,230.8,,0.835,NULL,2.9682,0,,Good,2022-09-26 13:41:36
RD00020308,MTR003370,CUST003370,2023-08-13 05:10:37,Automatic,10.4329,455226.36,242.8,15.63,0.88,59.241,1.8248,0,0,Good,2023-08-13 05:37:37
RD00019173,MTR000244,CUST000244,2022-05-27 05:00:05,Revised,13.85,76360.74,238.9,26.58,0.756,N/A,3.5401,0,0,Good,2022-05-27 05:26:05
RD00021668,MTR002059,CUST002059,2023-12-20 07:55:32,Automatic,1.5166,438.01896999999997,211.9,22.23,0.999,7.039,0.588,0,0,Estimated,2023-12-20 08:17:32
RD00017650,MTR003347,CUST003347,2023-05-23 08:20:10,Revised,29.2266,230791.5,229.8,39.1,0.838,108.029,9.1927,0,0,Good,2023-05-23 08:44:10
RD00030626,MTR003084,CUST003084,NULL,Automatic,1.3486,91450.23,230.7,8.26,0.952,6.275,0.1595,0,0,Good,2024-09-11 13:16:15
RD00043320,MTR000285,CUST000285,2024-12-05 18:26:11,Automatic,0.7823,181.95320999999998,232.6,35.68,0.78,0,0.2303,0,0,Good,2024-12-05 18:42:11
RD00009228,MTR002007,CUST002007,2022-09-05 01:51:54,Automatic,0.2268,450886.68,225.7,2.6,0.999,1.168,0.0608,0,0,Good,2022-09-05 02:15:54
RD00001784,MTR000609,CUST000609,2023-06-16 19:23:58,Automatic,153.5681,182703.52,234.5,-,0.735,467.336,20.4693,0,0,Good,2023-06-16 19:27:58
RD00029911,MTR003544,CUST003544,2022-12-28 22:42:15,Automatic,1.2243,462438.23,217.7,,0.973,6.09,0.4582,0,0,Good,2022-12-28 23:05:15
RD00037567,MTR000343,CUST000343,2023-06-15 21:33:45,Automatic,2.3705,353130.85,235.0,42.78,0.712,11.702,0.9358,0,0,Good,15-06-2023
RD00015796,MTR004696,CUST004696,N/A,Revised,0.9461,254715.64,237.3,2.08,0.798,0,0.3151,0,0,Good,2024-03-12 15:10:47
RD00004489,MTR000130,CUST000130,2024-01-11 03:55:43,Automatic,0.8554,334269.62,223.4,37.62,0.994,3.36,0.3282,0,0,Good,-
RD00026132,MTR000369,  CUST000369,2022-08-27 16:24:39,Manual,237.3507,348675.23,216.8,23.51,0.985,858.546,45.7986,0,0,Good,2022-08-27 16:42:39
RD00040175,MTR001850,CUST001850,2024-09-01 12:37:05,Automatic,5.416,237080.72,232.5,48.78,0.874,28.195,0.5442,N/A,0,Good,01/09/2024
RD00023108,MTR000983,CUST000983,2022-06-01 17:36:17,Automatic,253.2852,170846.04,248.8,48.85,N/A,1110.54,-,0,0,Good,2022-06-01 17:53:17
RD00014810,MTR000131,CUST000131,2023-09-29 23:06:57,Automatic,4.0072,111779.09,237.3,16.03,0.964,13.505,0.7221,0,0,Suspect,2023-09-29 23:17:57
RD00031130,MTR004213,CUST004213,UNKNOWN,,102.6553,384718.11,239.2,33.74,0.823,408.575,23.985,0,1,Good,2022-05-28 06:16:55
RD00035889,MTR000255,CUST000255,2024-12-07 13:26:57,Automatic,1.3384,348078.88,227.3,41.81,0.872,6.683,0.1353,0,0,Good,2024-12-07 13:39:57
RD00030925,MTR003241,CUST003241,2024-01-09 07:01:18,Automatic,2.7489,50004.39,226.0,26.88,0.946,14.1,0.3198,0,0,Good,2024-01-09 07:07:18
RD00030966,MTR004275,  CUST004275,2022-03-20 13:05:30,-,1.8672,234706.27,208.1,26.19,0.896,8.083,0.3772,0,0,Invalid,2022-03-20 13:28:30
RD00023684,MTR000867,CUST000867,2024-08-07 06:26:49,Manual,3.5578,38270.69,246.3,21.99,0.76,13.411,0.7361,0,0,Good,2024-08-07 06:33:49
RD00011903,MTR003045,CUST003045,2024-04-01 00:06:04,Automatic,0.485,485997.19,258.1,43.64,0.755,2.186,0.1492,0,0,Estimated,2024-04-01 00:10:04
RD00031514,MTR001610,CUST001610,2023-07-31 11:32:22,automatic,-,294671.46,232.0,27.96,0.963,5.504,0.1329,0,0,Good,2023-07-31 11:59:22
RD00018207,MTR000444,CUST000444,2022-04-17 07:48:09,Automatic,26.095,324603.28,244.5,49.39,0.962,116.335,-,0,0,Good,2022-04-17 08:13:09
RD00028323,MTR003404,CUST003404,2022-03-25 04:25:01,Automatic,8.2877,15849.66,230.2,8.2,0.711,33.879,N/A,0,0,Good,2022-03-25 04:32:01
RD00003571,MTR002877,CUST002877,2022-08-06 01:31:42,Automatic,84.8215,82102.4,214.5,29.13,NULL,435.237,27.9598,0,0,Good,1659744000
RD00017317,MTR001425,  CUST001425,2023-05-16 19:41:32,Automatic,2.8631,157126.25,218.3,27.68,0.979,15.756,1.0465,0,0,Good,2023-05-16 19:46:32
RD00010990,MTR000889,CUST000889,2022-07-12 00:43:10,Automatic,159.7595,463101.83,221.7,25.13,-,601.632,16.9766,0,0,Good,2022-07-12 00:57:10
RD00045395,MTR003889,CUST003889,2023-12-05 20:01:33,Manual,31.8223,400608.66,228.2,21.34,0.723,125.44,12.5654,0,0,Invalid,2023-12-05 20:05:33T00:00:00Z
RD00048705,MTR003243,CUST003243,2024-10-31 07:15:53,Manual,0.7227,291056.72,224.2,39.58,0.743,2.38,0.1233,0,0,Good,2024-10-31 07:38:17
RD00034481,MTR001961,CUST001961,2023-02-16 07:47:07,Automatic,2.5879,277411.46,230.3,6.65,0.9,9.033,0.4733,0,0,Good,2023-02-16 08:11:07
RD00006698,MTR004429,CUST004429,2024-01-28 18:11:12,Manual,"0,9004",106765.82,235.6,11.04,0.893,3.076,NULL,0,1,Estimated,2024-01-28 18:34:12
RD00003763,MTR002434,N/A,2022-11-09 18:42:30,Automatic,10.6823,211355.63,224.0,30.31,0.705,46.705,1.4777,,0,N/A,2022-11-09 18:47:30
RD00034979,MTR002969,CUST002969,2023-11-26 09:29:53,Revised,1.2638,,223.3,22.62,0.852,5.662,0.2504,0,NULL,Good,2023-11-26 09:43:53
RD00001279,MTR003007,CUST003007,2022-09-22 04:36:52,Manual,0.7708,460941.58,240.1,23.24,0.954,-,0.1845,0,0,Good,2022-09-22 04:41:52
RD00022329,MTR001359,CUST001359,2024-02-14 14:08:51,Automatic,11.4799,398022.06,226.2,36.54,0.813,63.218,3.9643,0,1,Good,2024-02-14 14:10:51
RD00033233,MTR004941,CUST004941,2022-03-27 10:33:07,Estimated,0.2966,463233.46,227.1,18.27,0.975,0.973,0.0549,0,0,Good,2022-03-27 10:54:07
RD00033142,MTR002947,CUST002947,2023-05-31 03:52:07,Automatic,2.4297,192224.24,228.3,18.93,0.978,10.339,0.2819,0,0,Good,2023-05-31 04:12:07
RD00022764,MTR000964,CUST000964,2023-06-29 05:37:40,Automatic,153.5843,354671.98,242.8,0,0.922,,29.4436,0,0,Good,2023-06-29 05:50:40
RD00010064,MTR001099,CUST001099,2022-12-09 01:34:48,Automatic,88.9572,55213.92,222.0,27.49,0.769,498.129,26.169,0,,Estimated,2022-12-09 01:43:48
RD00022199,MTR000515,CUST000515,2022-06-09 13:51:09,Automatic,5.4978,429773.62,221.9,25.85,0.982,32.72,,0,0,Good,2022-06-09 13:56:09
RD00045302,MTR004455,0,2023-08-23 15:12:10,Automatic,10107.4,63635.09,234.2,6.83,0.71,35.639,3.7513,0,0,Suspect,2023-08-23 15:17:10
RD00017879,MTR001021,CUST001021,2022-04-28 09:30:34,Automatic,0.3322,399056.0,221.9,3.58,0.767,1.567,0.0776,0,0,Estimated,0
RD00041979,  MTR004462,CUST004462,2022-12-05 10:01:06,Automatic,-,69622.09,232.8,16.39,0.853,51.386,3.3597,0,0,Good,2022-12-05 10:09:06T00:00:00Z
RD00029843,MTR000751,CUST000751,2023-10-12 12:27:01,Automatic,1.9236,187703.25,234.4,32.96,0.789,8.54,0.1986,0,0,Invalid,2023-10-12 12:39:01
RD00026336,MTR002802,CUST002802,2024-01-11 16:58:03,Automatic,4.948,241770.14,234.6,7.38,0.832,26.078,0.5723,0,0,Invalid,2024-01-11 17:03:03
RD00013814,MTR002993,CUST002993,2023-10-28 22:01:39,Automatic,1.0017,73409.65,246.7,25.53,0.82,3.064,0.2381,0,0,Good,1698451200
RD00003578,  MTR003908,CUST003908,2022-12-23 09:27:09,Automatic,2.782,103532.37,160,32.1,0.984,16.464,0.7297,0,0,Good,2022-12-23 09:28:09
RD00022402,MTR003780,CUST003780,2024-05-06 18:19:42,Manual,7.6228,28772.06,N/A,36.46,0.751,29.952,0.8625,0,0,Good,2024-05-06 18:24:42
RD00020845,  MTR001217,CUST001217,2022-06-17 18:44:36,Revised,22.2763,416770.86,236.0,21.45,0.906,108.453,8.5831,0,0,Good,2022-06-17 19:07:36
RD00005961,MTR003520,CUST003520,2023-07-21 19:14:55,Automatic,,456266.53,228.2,5.66,0.709,207.669,14.686,0,0,Good,2023-07-21 19:30:55
RD00010510,MTR001430,CUST001430,2023-12-21 13:48:27,Estimated,1.7088,316014.11,236.7,48.59,0.901,6.627,0.539,0,0,Good,2023-12-21 13:52:27
RD00007243,MTR004724,CUST004724,0,Automatic,1.4586,185044.79,232.8,48.26,0.959,7.719,0.5006,0,0,Good,2022-08-10 06:47:08T00:00:00Z
RD00009105,MTR002526,CUST002526,2024-10-13 18:38:49,Estimated,27.6806,453.39499,232.1,26.3,0.838,158.329,7.7512,0,0,Estimated,2024-10-13 18:39:49
RD00010679,MTR001073,CUST001073,0,Automatic,2.6199,122474.81,229.7,39.12,0.836,10.695,0.4002,0,0,Good,2023-02-25 16:02:40
RD00000978,MTR001940,  CUST001940,2023-10-03 05:06:52,Manual,UNKNOWN,288185.3,220.4,2.1,0.862,15.581,1.1107,0,0,Good,2023-10-03 05:34:52
RD00032862,MTR003209,CUST003209,2023-06-26 17:03:36,Automatic,26.1636,267164.47,218.8,14.13,0.863,N/A,,0,0,good,2023-06-26 17:20:36
RD00034436,MTR003782,CUST003782,2023-06-17 18:27:25,Automatic,1.1461,409036.31,229.8,9.29,0.904,5.148,0.4521,0,0,Good,2023-06-17 18:51:25
RD00004543,MTR001703,CUST001703,2022-10-12 05:01:43,Automatic,4.4037,369288.29,236.6,21.03,0.815,21.505,1.1436,0,0,Good,2022-10-12 05:19:43
RD00039332,MTR002279,CUST002279,2023-09-05 20:50:10,Automatic,6.3979,394666.54,210.4,26.58,0.91,28.515,2.0107,0,0,Good,2023-09-05 21:19:10
RD00049157,MTR002472,CUST002472,2024-09-24 10:43:57,UNKNOWN,2.0236,254673.71,211.8,2.48,0.953,8.439,0.7185,0,0,Estimated,2024-09-24 11:03:57
RD00030109,MTR004445,CUST004445,-,Automatic,24.1109,470853.67,251.1,45.6,0.744,,6.5729,0,0,Good,2023-09-08 12:55:52
RD00025776,MTR003641,CUST003641,2022-11-03 21:42:22,Manual,17.1291,91275.53,202.5,20.59,NULL,85.755,6.6318,0,0,Good,-
RD00003520,MTR002350,CUST002350,2022-09-12 21:53:03,Automatic,,392232.1,248.2,27.01,0.852,1004.371,26.4222,0,0,Suspect,2022-09-12 22:00:03
RD00022473,MTR000872,CUST000872,2022-01-19 09:10:06,Automatic,2.8576,477635.88,235.7,N/A,0.8,17.032,0.5512,0,0,Good,2022-01-19 09:35:06
RD00029358,MTR001226,N/A,2024-01-29 13:52:06,Automatic,19.5616,47916.07,234.4,6.64,0.752,111.708,5.3898,0,0,Good,29-01-2024
RD00025720,MTR099780,CUST003944,2024-01-02 07:30:07,Automatic,-,219020.9,NULL,19.12,0.841,39.541,3.1356,-,0,Good,2024-01-02 07:37:07
RD00018825,MTR000822,  CUST000822,2023-10-02 12:04:56,Automatic,5.8831,113539.66,-,13.59,0.951,19.495,2.3521,0,0,Good,2023-10-02 12:27:56
RD00023064,MTR003381,CUST003381,2022-05-08 18:41:56,Revised,0.4626,332414.72,225.0,30.14,0.828,2.017,0.1678,0,0,Good,2022-05-08 18:46:56
RD00027745,MTR002552,CUST002552,1696809600,Automatic,1.168,165808.02,234.8,46.49,0.793,,0.2159,1,0,Good,2023-10-09 15:41:03
RD00017031,MTR004169,CUST004169,2022-05-19 22:00:19,Automatic,30.5331,288109.27,218.2,36.73,0.74,145.919,,0,1,Invalid,2022-05-19 22:12:19
RD00039214,MTR003294,CUST003294,2023-07-10 09:59:15,Manual,1.8517,-,214.5,2.29,0.826,7.147,UNKNOWN,0,0,Good,2023-07-10 10:15:15
RD00043223,UNKNOWN,CUST000980,2024-12-17 12:01:36,automatic,17.7475,71347.68,229.7,44.14,0.927,UNKNOWN,2.3428,0,0,NULL,2024-12-17 12:13:36
RD00032439,MTR001936,CUST001936,2022-02-05 10:11:58,AUTOMATIC,773.4,51331.87,217.2,31.99,0.887,4.626,0.2604,0,0,Good,2022-02-05 10:19:58
RD00017737,MTR002501,CUST002501,2022-07-24 14:36:29,Estimated,70.7716,479253.53,217.1,11.61,N/A,393.69,N/A,0,0,Good,2022-07-24 14:56:29
RD00035929,MTR003535,CUST003535,1715644800,Automatic,0.6152,308724.55,236.1,27.94,0.788,2.268,0.2455,0,0,Good,2024-05-14 04:37:20
RD00036548,  MTR003101,CUST003101,2022-04-07 19:20:34,Automatic,1.1731,129486.44,224.4,20.6,0.735,4.395,0.1382,0,0,Good,2022-04-07 19:32:34
RD00026566,MTR004311,CUST004311,2023-04-11 03:48:22,Automatic,3.7885,396073.9,237.2,32.93,0.953,22.367,1.3163,0,0,Good,2023-04-11 04:03:22
RD00017216,MTR004737,CUST004737,2022-11-24 18:10:00,Automatic,3.1129,121973.31,245.9,4.99,0.88,15.468,0.5124,0,0,Suspect,2022-11-24 18:12:00
RD00022276,MTR002350,CUST002350,2024-01-15 17:59:45,Automatic,NULL,256205.3,236.1,22.89,0.916,138.018,3.5539,0,0,NULL,2024-01-15 18:10:45
RD00029619,MTR003997,,2023-11-28 23:05:17,Automatic,0.2969,384992.98,,46.59,0.768,1.591,0.0358,0,0,Estimated,2023-11-28 23:35:17
RD00038277,MTR000332,CUST000332,2022-01-03 02:31:39,-,13.4125,146863.5,230.6,17.3,0.745,66.447,2.7488,0,0,Invalid,2022-01-03 02:51:39
RD00048908,MTR001288,CUST001288,2024/11/01 14:34:03,Automatic,0.2789,122111.8,230.1,13.92,0.711,1.185,0.1113,0,0,Good,2024-11-01 14:39:03
RD00006114,MTR002144,CUST002144,2022-04-20 14:17:15,Automatic,7.8372,390196.55,UNKNOWN,23.55,0.909,36.275,2.3989,0,0,Good,2022-04-20 14:40:15
RD00025108,MTR003928,  CUST003928,2023-03-19 11:13:38,Automatic,0.8286,278149.32,UNKNOWN,33.69,0.907,2.745,0.1843,0,0,Good,2023-03-19 11:37:38
RD00046264,MTR003941,CUST003941,2022-05-12 20:47:14,Automatic,2.3558,122355.29,212.0,8.23,0.731,8.768,,0,0,Estimated,2022-05-12 21:00:14
RD00011896,MTR002337,  CUST002337,2022-05-23 17:28:48,Automatic,3.9233,255561.5,216.5,41.44,0.931,20.313,1.4551,0,0,Good,2022-05-23 17:34:48
RD00010351,MTR000715,N/A,2022-05-12 04:28:36,Estimated,1.1926,324148.42,233.5,7.92,0.856,0,0.4287,0,0,0,2022-05-12 04:36:36
RD00001596,MTR004854,CUST004854,2022-03-28 15:57:19,Automatic,0.9513,465334.99,226.9,32.38,,3.253,0.1176,0,0,Estimated,2022-03-28 16:00:19
