bill_id,customer_id,meter_id,rate_plan_id,billing_period_start,billing_period_end,bill_date,due_date,units_consumed,peak_units,off_peak_units,bill_base_amount,fixed_charges,tax_amount,total_bill_amount,amount_paid,outstanding_balance,payment_method,payment_date,bill_status,payment_status,previous_balance,subsidy_amount,arrears,created_at,rejection_reason
BILL00000479,CUST003090,MTR003090,RP002,2023-03-01,2023-03-31,2023-04-05,2023-04-17,302.36,112.0,185.95,1466.52,176.32,146.65,,0.0,1789.49,,,Overdue,Disputed,4388.1,19.2,455.7,2023-04-05 04:32:19,Invalid or missing billing amount
BILL00015271,CUST000856,MTR000856,RP003,2024-01-01,,2024-02-05,,352.01,148.99,182.7,1814.07,98.11,181.41,,0.0,2093.59,,,Disputed,Overdue,4798.69,87.76,1879.53,2024-02-05 22:03:03,Invalid or missing billing amount
BILL00021504,CUST003569,MTR003569,RP006,2023-01-01,,2023-02-05,2023-02-24,327.78,106.06,222.84,1644.46,96.65,UNKNOWN,,1905.56,0.0,Auto Debit,2023-02-23,Paid,Disputed,4259.23,97.23,1652.21,2023-02-05 21:53:16,Invalid or missing billing amount
BILL00016570,CUST000403,MTR000403,RP001,-,2024-05-31,2024-06-05,2024-06-21,1333.11,660.3,906.99,9931.43,202.67,993.14,,11127.24,0.0,Cash,2024-06-17,Paid,Overdue,2851.31,0,-,,Invalid or missing billing amount
BILL00005081,CUST001722,MTR001722,RP004,2024-12-01,2024-12-31,2025-01-05,2025-01-24,287.45,106.42,151.92,1380.97,361.55,138.1,,1880.62,0.0,Auto Debit,2025-01-25,Paid,Disputed,,98.12,1955.39,2025-01-05 19:27:17,Invalid or missing billing amount
BILL00002913,CUST000960,MTR000960,RP001,2023-07-01,2023-07-31,2023-08-05,2023-08-29,292.67,135.26,188.67,1409.69,198.48,140.97,,1749.13,0.0,Auto Debit,2023-09-08,Paid,,2002.29,79.69,163.44,2023-08-05 19:43:19,Invalid or missing billing amount
BILL00011232,CUST000660,MTR000660,RP004,2024-01-01,2024-01-31,,2024-02-28,317.61,133.91,206.71,1573.27,286.74,157.33,,0.0,2017.34,,,Revised,Overdue,2074.66,0,769.11,2024-02-05 12:37:16,Invalid or missing billing amount
BILL00006142,CUST002685,MTR002685,RP002,2024-12-01,2024-12-31,,2025-01-26,422.07,126.8,215.73,2304.49,441.61,230.45,,0.0,2976.55,,,Disputed,Disputed,2651.85,111.45,1866.85,,Invalid or missing billing amount
BILL00004787,CUST000148,MTR000148,RP003,2023-11-01,2023-11-30,2023-12-05,2023-12-15,266.27,96.06,154.74,1264.48,407.54,126.45,,1798.48,0.0,cheque,2023-11-30,Paid,Unpaid,3963.35,114.46,1459.8,2023-12-05 01:46:47,Invalid or missing billing amount
BILL00024412,CUST002473,MTR002473,RP004,2023-07-01,2023-07-31,2023-08-05,2023-08-28,0,9625.63,11726.16,190300.84,86.02,19030.08,,0.0,209416.94,,,Sent,Disputed,998.47,0,1749.68,2023-08-05 12:03:00,Invalid or missing billing amount
BILL00004826,CUST000540,MTR000540,RP002,2023-06-01,2023/06/30,2023-07-05,2023-07-16,,126.7,149.45,1238.91,238.94,123.89,,0.0,1601.74,,,Overdue,Written Off,3595.25,109.25,1839.29,2023-07-05 01:17:07,Invalid or missing billing amount
BILL00005428,0,MTR002440,RP004,2024-01-01,2024-01-31,2024-02-05,2024-02-29,0,127.16,158.18,1416.72,328.66,141.67,,1887.06,0.0,Cheque,2024-03-12,Paid,Paid,1021.64,158.7,1394.35,2024-02-05 06:01:11,Invalid or missing billing amount
BILL00006406,CUST001893,MTR001893,RP004,2024-02-01,2024/02/29,2024-03-05,,253.6,76.37,150.41,1194.8,138.51,119.48,,0.0,1452.79,,,Disputed,Overdue,2713.22,28.87,951.65,2024-03-05 23:22:53,Invalid or missing billing amount
BILL00000079,CUST004369,MTR004369,RP002,2024-02-01,2024-02-29,2024-03-05,2024-03-28,19184.58,8649.95,11392.49,161668.93,285.13,16166.89,,0.0,178120.95,,,Overdue,Unpaid,2568.03,,,2024-03-05 04:49:07,Invalid or missing billing amount
BILL00020216,CUST004224,MTR004224,RP004,2024-03-01,2024-03-31,,2024-04-24,363.19,180.4,229.38,1892.33,465.98,189.23,,0.0,2547.54,,,Overdue,Unpaid,4053.28,0,1021.69,2024-04-05 07:30:14,Invalid or missing billing amount
BILL00009800,CUST003732,MTR003732,RP003,,2024-09-30,2024-10-05,,1700.29,546.65,870.69,13052.47,308.15,1305.25,,14665.87,0.0,Cheque,2024-09-30,Paid,Overdue,4821.08,0,72.27,2024-10-05 02:12:26,Invalid or missing billing amount
BILL00010949,CUST001584,MTR001584,RP001,2023-06-01,2023-06-30,2023-07-05,2023-07-17,1667.7,552.93,892.25,12775.45,420.34,1277.55,,0.0,14473.34,,,Sent,Written Off,1664.22,0,178.37,2023-07-05 04:35:56,Invalid or missing billing amount
BILL00003114,CUST003140,MTR003140,RP006,2024-09-01,2024-09-30,2024-10-05,2024-10-21,29948.09,,17254.58,253158.77,407.39,25315.88,,278882.03,0.0,Auto Debit,,Paid,Paid,3284.24,0,1186.57,,Invalid or missing billing amount
BILL00022532,CUST004356,MTR004356,RP003,2023-10-01,2023-10-31,2023-11-05,,282.83,87.64,157.85,1355.57,253.01,135.56,,0.0,1744.14,,,Sent,Overdue,356.05,35.99,1945.36,2023-11-05 16:23:58,Invalid or missing billing amount
BILL00015288,CUST001500,MTR001500,RP004,2024-03-01,2024-03-31,2024-04-05,2024-04-21,46.36,17.78,28.37,162.26,UNKNOWN,16.23,,471.22,0.0,Mobile App,2024-05-06,Paid,Written Off,1164.73,0,769.55,2024-04-05 07:52:34,Invalid or missing billing amount
BILL00018065,CUST000632,MTR000632,RP003,2023-01-01,2023-01-31,2023-02-05,2023-02-18,167.84,57.86,115.12,723.12,480.09,72.31,,0.0,1275.52,,,Overdue,Disputed,2370.66,88.08,1334.78,2023-02-05 00:22:21,Invalid or missing billing amount
BILL00009749,CUST003801,MTR003801,RP006,2024-06-01,2024-06-30,,2024-07-29,1174.82,386.16,UNKNOWN,8585.97,414.41,858.6,,0.0,9858.98,,,Overdue,Overdue,152.94,0,,,Invalid or missing billing amount
BILL00020906,CUST001323,MTR001323,RP002,2024-02-01,2024-02-29,2024-03-05,2024-03-29,294.52,95.53,203.49,1419.86,341.0,141.99,,0.0,1902.85,,,Disputed,0,1094.46,80.47,647.17,2024-03-05 23:07:53,Invalid or missing billing amount
BILL00023918,CUST001721,MTR001721,RP006,2024-08-01,2024-08-31,2024-09-05,,168.93,75.87,,729.12,406.26,72.91,,1208.28,0.0,Bank Transfer,2024-09-10,Paid,Disputed,2252.14,167.03,68.11,2024-09-05 13:53:33,Invalid or missing billing amount
BILL00009785,CUST003555,MTR003555,RP004,2024-08-01,2024-08-31,2024-09-05,2024-09-21,140.96,56.84,72.23,575.28,198.94,57.53,,831.75,0.0,Bank Transfer,2024-10-04,Paid,Partial,4052.33,84.31,1829.07,2024-09-05 09:56:16,Invalid or missing billing amount
BILL00017597,CUST000300,MTR000300,RP006,2024-03-01,2024-03-31,2024-04-05,2024-04-16,809.26,285.44,496.77,5478.71,493.08,547.87,,,0.0,Cheque,2024-04-09,Paid,0,1089.14,51.39,300.96,2024-04-05 05:41:34,Invalid or missing billing amount
BILL00001804,CUST000147,-,RP002,2023-05-01,2023-05-31,2023-06-05,,257.79,93.53,136.26,1217.85,213.98,121.78,,1553.61,0.0,Auto Debit,2023-06-14,paid,Written Off,3136.55,4.39,1343.84,2023-06-05 16:10:50,Invalid or missing billing amount
BILL00007309,CUST004788,MTR004788,RP003,2023-05-01,-,2023-06-05,2023-06-16,160.15,69.94,84.91,680.83,439.71,68.08,,1188.61,0.0,,2023-06-26,Paid,Paid,1230.71,,1132.03,2023-06-05 16:16:01,Invalid or missing billing amount
BILL00014049,CUST001903,MTR001903,RP006,2024-10-01,2024-10-31,2024-11-05,2024-11-27,309.55,133.19,,1516.85,423.02,151.69,,2091.56,0.0,Cash,2024-12-04,Paid,Unpaid,4680.71,187.63,,,Invalid or missing billing amount
BILL00012540,CUST000098,MTR000098,RP005,2024-07-01,2024-07-31,2024-08-05,2024-08-16,850.68,309.84,457.84,5830.78,381.99,583.08,,6795.85,0.0,Bank Transfer,2024-08-31,Paid,Unpaid,3671.81,188.28,202.87,2024-08-05 05:49:02,Invalid or missing billing amount
BILL00019821,CUST001599,MTR001599,RP001,2024-11-01,2024-11-30,2024-12-05,2024-12-27,170.94,71.33,86.39,740.17,199.11,74.02,,0.0,,,,Disputed,Overdue,1662.38,4.71,1807.94,2024-12-05 00:37:02,Invalid or missing billing amount
BILL00012434,CUST001798,MTR001798,RP002,2024-01-01,2024-01-31,,2024-03-01,16614.95,6958.99,9608.86,139827.08,58.08,13982.71,,0.0,153867.87,,,Revised,Disputed,2384.95,0,344.26,2024-02-05 10:59:54,Invalid or missing billing amount
BILL00004682,CUST000088,MTR000088,RP005,2024-10-01,-,,2024-11-21,392.91,137.99,200.43,2100.37,279.1,210.04,,2589.51,0.0,Auto Debit,2024-11-28,Paid,Written Off,1330.32,137.13,40.34,2024-11-05 13:56:09,Invalid or missing billing amount
BILL00000259,CUST001324,MTR001324,RP005,2024-05-01,,,2024-06-22,354.69,156.1,189.67,1832.83,67.74,183.28,,2083.85,0.0,Mobile App,2024-06-06,Paid,Paid,477.03,78.64,1148.05,2024-06-05 18:03:27,Invalid or missing billing amount
BILL00003800,CUST003309,MTR003309,RP003,2024-01-01,2024-01-31,2024-02-05,2024-02-24,276.83,104.78,-,1322.57,356.48,132.26,,0.0,1811.31,,,Disputed,Partial,754.51,,539.25,2024-02-05 21:00:14,Invalid or missing billing amount
BILL00008776,CUST003047,MTR003047,RP002,2024-07-01,2024-07-31,2024-08-05,2024-08-27,316.59,123.83,172.73,1566.13,324.58,156.61,,0.0,2047.32,,,Overdue,Written Off,3697.61,159.37,722.76,2024-08-05 13:21:47,Invalid or missing billing amount
BILL00007119,CUST002821,MTR002821,RP001,2024-04-01,2024-04-30,2024-05-05,2024-05-22,1757.62,528.25,1045.41,13539.77,289.92,1353.98,,0.0,15183.67,,,Revised,Overdue,3772.52,0,0,2024-05-05 20:38:52,Invalid or missing billing amount
BILL00022726,CUST099682,MTR003699,0,2024-04-01,2024-04-30,2024-05-05,2024-05-25,229.35,80.87,146.62,1061.42,391.93,106.14,,1559.5,0.0,Cash,2024-05-10,paid,Paid,3667.63,55.68,1763.17,2024-05-05 07:07:28,Invalid or missing billing amount
BILL00013095,CUST000476,MTR000476,RP001,2024-06-01,2024-06-30,2024-07-05,,8458.18,3256.23,4728.02,70494.53,143.73,7049.45,,77687.71,0.0,Mobile App,2024-07-08,Paid,Partial,973.55,0,,2024-07-05 18:02:33,Invalid or missing billing amount
BILL00015311,CUST000486,MTR000486,,2023-05-01,2023-05-31,2023-06-05,2023-06-23,35983.91,12757.27,23295.22,304463.24,386.45,30446.32,,0.0,335296.01,,,Generated,Partial,4873.68,,589.68,2023-06-05 06:07:59,Invalid or missing billing amount
BILL00012744,CUST003829,MTR003829,UNKNOWN,2024-05-01,2024-05-31,2024-06-05,2024-06-20,293.92,134.09,157.88,1416.56,453.96,141.66,,0.0,2012.18,,,Generated,Partial,462.58,0,362.07,2024-06-05 10:18:43,Invalid or missing billing amount
BILL00016678,CUST002399,MTR002399,RP001,2023-02-01,2023-02-28,2023-03-05,2023-03-23,1078.58,360.69,545.04,7767.93,443.17,776.79,,8987.89,0.0,Auto Debit,2023-03-31,Paid,Unpaid,3310.92,10.71,249.03,2023-03-05 23:26:23,Invalid or missing billing amount
BILL00013965,CUST000467,MTR000467,RP006,2023-11-01,2023-11-30T00:00:00Z,2023-12-05,,184.28,-,114.94,813.54,255.18,81.35,,1150.07,0.0,,2023-12-21,Paid,Disputed,4172.81,12.47,1252.61,2023-12-05 02:26:31,Invalid or missing billing amount
BILL00006398,CUST000084,MTR000084,RP002,2023-06-01,2023-06-30,2023-07-05,2023-07-30,1280.24,569.11,799.35,9482.04,498.39,948.2,,0.0,10928.63,,,,Paid,628.76,0,1835.96,2023-07-05 02:52:39,Invalid or missing billing amount
BILL00004439,CUST001778,MTR001778,RP003,01/03/2023,2023-03-31,,2023-04-28,604.64,264.89,389.51,3739.44,276.0,373.94,,4389.38,0.0,Cash,2023-04-18,Paid,Unpaid,3443.37,65.07,214.19,2023-04-05 16:22:24,Invalid or missing billing amount
BILL00010800,CUST003968,MTR003968,RP005,2024-11-01,2024-11-30,2024-12-05,2024-12-21,16879.01,6375.38,8481.36,142071.58,341.6,14207.16,,156620.34,0.0,mobile app,2024-12-01,Paid,Disputed,2852.39,0,1948.21,2024-12-05 07:48:09,Invalid or missing billing amount
BILL00014961,CUST001798,MTR001798,RP002,2024-05-01,2024-05-31,2024-06-05,2024-06-24,23367.53,11381.39,14522.82,197224.01,72.59,19722.4,,0.0,217018.99,,,Overdue,Partial,3633.4,0,106.81,2024-06-05 19:42:11,Invalid or missing billing amount
BILL00006870,CUST001870,MTR001870,RP004,2024-10-01,2024-10-31,2024-11-05,2024-11-21,126.66,39.02,72.86,496.63,394.23,49.66,,940.52,0.0,Cash,,,Disputed,2114.87,69.83,274.38,2024-11-05 00:24:47,Invalid or missing billing amount
BILL00013319,CUST001996,MTR001996,RP004,2023-07-01,2023-07-31,2023-08-05,2023-08-26,90.55,42.38,57.99,316.93,496.58,31.69,,0.0,845.19,,,Overdue,Paid,2230.31,,1864.22,2023-08-05 07:51:47,Invalid or missing billing amount
BILL00008646,CUST000458,,RP005,2023-03-01,2023-03-31,2023-04-05,2023-04-30,319.83,131.74,216.59,1588.81,397.87,158.88,,0.0,2145.56,,,Overdue,Partial,693.68,0,547.0,2023-04-05 23:40:21,Invalid or missing billing amount
BILL00023041,CUST003084,MTR003084,RP004,2024-10-01,2024-10-31,2024-11-05,2024-11-16,248.43,99.72,143.78,1166.37,249.65,116.64,,1532.65,0.0,Online,,Paid,Partial,643.81,111.33,289.31,2024-11-05 02:47:47,Invalid or missing billing amount
BILL00020261,CUST001685,MTR001685,RP001,2024-02-01,2024-02-29,2024-03-05,2024-03-29,378.84,149.42,263.38,2001.88,322.2,200.19,,0.0,2524.27,,,Overdue,Unpaid,596.84,180.91,873.45,2024-03-05 03:16:28,Invalid or missing billing amount
BILL00010873,CUST000310,MTR000310,RP006,2023-07-01,2023-07-31,2023-08-05,2023-08-20,181.86,61.43,104.67,800.23,250.29,UNKNOWN,,1130.54,0.0,Auto Debit,2023-08-13,Paid,Overdue,2954.19,57.56,780.03,2023-08-05 20:57:55,Invalid or missing billing amount
BILL00012537,CUST004633,MTR004633,RP001,2023-06-01,2023-06-30,2023-07-05,2023-07-23,2135.74,884.07,1088.08,16753.79,287.06,1675.38,,18716.23,0.0,Cash,2023-08-07,,Paid,3812.65,-,0,2023-07-05 14:47:02,Invalid or missing billing amount
BILL00010002,CUST003108,MTR003108,RP001,2024-08-01,,2024-09-05,2024-09-29,2366.35,859.72,1459.56,18713.97,,1871.4,,20975.06,0.0,Auto Debit,2024-10-10,Paid,Written Off,344.39,0,373.21,2024-09-05 19:12:03,Invalid or missing billing amount
BILL00012279,CUST000013,MTR000013,RP003,2023-09-01,2023-09-30,2023-10-05,2023-10-24,131.12,62.44,71.2,521.16,325.65,52.12,,898.93,0.0,Cheque,2023-10-06,-,Written Off,790.33,127.24,1269.25,2023-10-05 11:35:04,Invalid or missing billing amount
BILL00011262,CUST002431,MTR002431,RP006,01-10-2024,2024-10-31,2024-11-05,2024-11-17,250.59,113.32,156.63,1178.24,434.08,117.82,,0.0,1730.15,,,Overdue,Partial,68.2,192.23,445.43,2024-11-05 21:03:45,Invalid or missing billing amount
BILL00010516,CUST003994,MTR003994,RP006,2023-04-01,2023-04-30,2023-05-05,2023-05-17,287.19,138.16,187.51,1379.55,361.1,137.95,,0.0,1878.59,,,Disputed,Partial,1029.37,174.93,667.38,2023-05-05 19:39:53,Invalid or missing billing amount
BILL00013465,CUST002964,MTR002964,RP005,2023-11-01,2023-11-30,,2023-12-27,236.17,113.7,128.71,1098.93,271.14,109.89,,1479.96,0.0,Cash,2024-01-02,Paid,0,1598.81,90.31,220.11,2023-12-05 08:33:00,Invalid or missing billing amount
BILL00008664,CUST003108,MTR003108,RP001,2023-11-01,2023-11-30,2023-12-05,2023-12-20,2260.74,798.62,1258.0,17816.29,114.9,1781.63,,0.0,19712.82,,,Overdue,Written Off,4467.5,0,367.49,,Invalid or missing billing amount
BILL00019870,CUST000371,MTR000371,RP003,2023-11-01,30-11-2023,,2023-12-27,401.32,123.96,214.99,2159.24,460.52,215.92,,0.0,2835.68,,,Disputed,Written Off,383.37,115.23,1467.92,2023-12-05 09:22:24,Invalid or missing billing amount
BILL00018034,CUST000497,MTR000497,RP006,2023-04-01,2023-04-30,2023-05-05,2023-05-23,2185.59,865.33,1183.23,17177.51,132.95,1717.75,,19028.22,0.0,Mobile App,2023-05-29,Paid,Overdue,3207.53,0,636.95,2023-05-05 00:19:02,Invalid or missing billing amount
BILL00004166,CUST003296,MTR003296,RP004,2024-11-01,2024-11-30,2024-12-05,,2816.54,961.78,1767.6,22540.59,286.77,2254.06,,25081.42,0.0,Cash,2024-11-30,Paid,Paid,1371.56,0,1486.17,2024-12-05 05:31:45,Invalid or missing billing amount
BILL00018291,CUST000921,MTR000921,RP005,2023-01-01,2023-01-31,2023-02-05,2023-02-24,283.43,88.03,175.19,1358.87,433.82,,,1928.58,0.0,Auto Debit,2023-02-12,Paid,Overdue,4097.85,0,64.03,2023-02-05 00:28:11,Invalid or missing billing amount
BILL00007102,CUST002265,MTR002265,RP003,2023-02-01,2023-02-28,,2023-03-20,2848.09,1400.64,1732.64,0,232.04,2280.88,,25321.69,0.0,Cash,2023-03-18,,Partial,1689.97,UNKNOWN,,2023-03-05 04:12:20,Invalid or missing billing amount
BILL00014720,CUST000238,MTR000238,RP003,2023-07-01,2023-07-31,2023-08-05,2023-08-15,240.13,90.17,161.23,1120.71,447.19,112.07,,1679.98,0.0,Cash,2023-08-17,paid,Disputed,1174.56,0,1205.69,,Invalid or missing billing amount
BILL00005813,CUST002037,MTR002037,RP001,2024-06-01,2024-06-30,2024-07-05,2024-07-19,32823.52,,21588.28,277599.92,349.21,27759.99,,305709.12,0.0,Auto Debit,2024-07-21,UNKNOWN,Overdue,3143.62,0,647.07,2024-07-05 19:55:00,Invalid or missing billing amount
BILL00011783,CUST001730,MTR001730,RP006,2024-12-01,2024-12-31,2025-01-05,2025-01-23,3118.65,1482.21,-,25108.53,499.27,2510.85,,0.0,28118.65,,,Generated,Disputed,1337.86,0,964.57,2025-01-05 00:32:21,Invalid or missing billing amount
BILL00018648,CUST002874,MTR002874,RP003,2024-03-01,2024-03-31,2024-04-05,2024-04-16,112.03,51.83,,416.17,401.85,41.62,,0.0,859.64,,,Sent,Disputed,1925.7,0,1786.18,2024-04-05 22:06:32,Invalid or missing billing amount
BILL00004860,CUST002022,MTR002022,RP002,2023-05-01,2023-05-31,,2023-06-22,25297.37,10911.28,,213627.64,336.87,21362.76,,235327.28,0.0,Auto Debit,2023-07-07,Paid,Unpaid,570.93,0,1694.71,2023-06-05 01:54:19,Invalid or missing billing amount
BILL00011906,CUST000001,MTR000001,RP002,2024-04-01,2024-04-30,2024-05-05,2024-05-21,229.52,80.5,138.51,1062.36,340.69,106.24,,,1509.29,,,Overdue,Overdue,,152.99,70.06,2024-05-05 16:09:37,Invalid or missing billing amount
BILL00002308,CUST002500,MTR002500,RP002,2023-06-01,2023-06-30,2023-07-05,2023-07-29,2523.49,768.2,1745.61,20049.66,156.35,2004.97,,22210.98,0.0,Mobile App,2023-07-10,Paid,Paid,318.4,0,106.41,2023-07-05 10:13:03,Invalid or missing billing amount
BILL00002101,CUST000716,MTR000716,RP006,2024-12-01,2024-12-31,,2025-01-16,323.18,-,215.88,1612.26,125.57,161.23,,1899.06,0.0,Mobile App,2025-01-19,Paid,Written Off,1632.75,0,1238.03,,Invalid or missing billing amount
BILL00009593,CUST004398,MTR004398,RP006,2023-03-01,2023-03-31,2023-04-05,,179.12,76.78,110.14,785.16,185.85,78.52,,0.0,1049.53,,,Sent,Unpaid,4544.37,178.54,899.01,2023-04-05 13:53:21,Invalid or missing billing amount
BILL00018792,CUST003854,MTR003854,RP001,2023-12-01,2023-12-31,,2024-01-30,360.13,,228.57,1870.91,325.64,187.09,,2383.64,0.0,Mobile App,2024-02-01,Paid,Paid,581.72,70.87,202.83,2024-01-05 16:09:57,Invalid or missing billing amount
BILL00013354,CUST000598,MTR000598,RP005,2024-06-01,2024-06-30,2024-07-05,2024-07-23,343.8,123.64,230.35,1756.6,,175.66,,2048.48,0.0,Auto Debit,2024-08-06,,Partial,3104.63,120.8,1914.41,2024-07-05 18:01:48,Invalid or missing billing amount
BILL00020816,CUST004762,MTR004762,RP002,2023-09-01,2023-09-30,2023-10-05,2023-10-23,,77.63,101.77,882.01,214.3,88.2,,1184.52,0.0,Mobile App,,Paid,Disputed,2169.26,32.1,214.25,2023-10-05 09:53:20,Invalid or missing billing amount
BILL00017006,CUST001263,MTR001263,RP006,2024-08-01,0,2024-09-05,2024-09-17,102.86,48.86,64.65,365.73,224.18,36.57,,,626.48,,,Overdue,Unpaid,,42.12,525.3,2024-09-05 04:15:31,Invalid or missing billing amount
BILL00013470,CUST001766,MTR001766,RP001,UNKNOWN,2024-10-31,,2024-11-21,302.98,118.71,183.5,1470.86,319.14,147.09,,0.0,1937.09,,,Generated,Overdue,4379.04,134.74,946.06,2024-11-05 17:15:57,Invalid or missing billing amount
BILL00016263,CUST004940,MTR004940,RP001,2023-11-01,2023-11-30,2023-12-05,2023-12-20,222.21,96.85,123.0,1022.16,416.3,102.22,,0.0,1540.68,,,Disputed,Written Off,1359.17,,505.47,2023-12-05 05:29:12,Invalid or missing billing amount
BILL00007157,CUST003398,MTR003398,RP004,2023-08-01,31-08-2023,2023-09-05,2023-09-20,32284.79,14562.86,,273020.72,300.08,27302.07,,300622.87,0.0,Bank Transfer,2023-09-06,Paid,Partial,1021.68,0,315.65,,Invalid or missing billing amount
BILL00001866,CUST002652,MTR002652,RP001,2023-08-01,2023-08-31,,2023-09-15,1004.42,481.67,612.79,7137.57,,-,,7974.47,0.0,Cash,2023-09-06,0,Disputed,4415.49,UNKNOWN,1161.52,2023-09-05 14:18:28,Invalid or missing billing amount
BILL00014026,CUST000398,MTR000398,RP001,2023-04-01,2023-04-30,2023-05-05,2023-05-15,186.08,81.7,124.16,823.44,423.04,82.34,,1328.82,0.0,Online,2023-05-09,Paid,Overdue,4757.54,83.17,UNKNOWN,2023-05-05 09:47:14,Invalid or missing billing amount
BILL00019211,CUST000864,MTR000864,RP003,2024-11-01,2024-11-30,2024-12-05,2024-12-28,238.59,93.05,151.77,1112.24,66.22,111.22,,1289.69,0.0,Cheque,2024-12-25,Paid,Paid,3295.85,32.15,0,2024-12-05 10:19:48,Invalid or missing billing amount
BILL00013104,CUST002468,MTR002468,RP006,2024-10-01,2024-10-31,,2024-11-30,33063.19,14880.39,21731.02,279637.11,214.0,27963.71,,307814.83,0.0,Bank Transfer,2024-11-26,Paid,Partial,2794.61,0,1149.76,2024-11-05 23:53:03,Invalid or missing billing amount
