read_id,meter_id,customer_id,read_timestamp,read_type,units_consumed,cumulative_reading,voltage_v,current_a,power_factor,peak_demand_kw,reactive_units_kvar,tamper_flag,outage_flag,quality_flag,created_at,rejection_reason
RD00038550,MTR001958,CUST001958,2022-04-04 09:25:25,Automatic,,14605.22,223.0,,0.797,,,0,0,Good,2022-04-04 09:28:25,Invalid or missing units consumed
RD00022642,-,CUST003994,2023-04-15 20:32:00,Automatic,,363265.45,225.9,13.7,,3.411,0.0839,0,0,Good,2023-04-15 20:55:00,Invalid or missing units consumed
RD00040628,MTR001412,CUST001412,2023-06-05 09:34:15,Automatic,,,229.2,18.05,,98.296,6.0117,0,0,Good,2023-06-05 09:58:15,Invalid or missing units consumed
RD00033290,MTR000308,CUST000308,2022-02-17 00:31:23,Revised,,478963.5,228.9,5.67,0.75,4.45,0.3213,0,0,Good,2022-02-17 00:49:23,Invalid or missing units consumed
RD00009045,MTR002705,CUST002705,2024-11-20 13:09:45,Revised,,440851.63,202.6,5.19,0.751,23.17,1.2511,0,0,Good,2024-11-20 13:14:45,Invalid or missing units consumed
RD00036307,MTR000337,CUST000337,2022-02-07 21:02:43,Automatic,,,207.6,0.0,0.786,1.925,,0,0,Good,,Invalid or missing units consumed
RD00046758,MTR002233,CUST002233,2024-09-08 02:24:01,Automatic,,25229.08,229.6,3.96,0.98,4.722,0.2147,0,0,Good,2024-09-08 02:48:01,Invalid or missing units consumed
RD00023352,MTR000990,CUST000990,2023-03-26 03:30:51,Automatic,,186244.26,,3.91,0.925,0.402,0.0311,0,0,Good,2023-03-26 03:47:51,Invalid or missing units consumed
RD00049878,MTR002575,CUST002575,,Automatic,,86107.22,,29.07,0.846,17.093,0.8506,0,0,Good,2023-12-07 00:02:04,Invalid or missing units consumed
RD00014922,MTR004531,CUST004531,2022-12-10 17:04:04,Estimated,,421811.72,234.9,,0.832,,3.0954,0,0,Invalid,,Invalid or missing units consumed
RD00039895,MTR000655,CUST000655,2022-02-04 19:30:43,Automatic,,335107.95,219.4,6.12,0.742,10.279,0.707,0,0,Estimated,2022-02-04 19:31:43,Invalid or missing units consumed
RD00042512,MTR000170,CUST000170,2024-08-02 06:27:43,Automatic,,62726.26,214.8,25.41,0.893,647.887,45.1359,0,0,Good,2024-08-02 06:41:43,Invalid or missing units consumed
RD00003362,MTR001513,CUST001513,2024-03-04 07:40:05,Automatic,,205181.0,249.7,42.56,0.719,129.637,10.0487,0,0,Good,2024-03-04 08:01:05,Invalid or missing units consumed
RD00017708,MTR004544,CUST004544,2023-11-25 13:38:01,Manual,,48424.11,0,,0.965,21.852,,0,0,Good,2023-11-25 13:59:01,Invalid or missing units consumed
RD00014141,MTR000572,CUST000572,2023-01-09 07:43:48,Estimated,,316796.6,223.7,24.91,0.945,5.317,0.1497,0,0,Good,2023-01-09 07:59:48,Invalid or missing units consumed
RD00048032,MTR000841,CUST000841,2022-08-02 04:22:06,Automatic,,,227.8,1.92,0.732,1027.589,33.8314,0,0,Good,2022-08-02 04:33:06,Invalid or missing units consumed
RD00034203,MTR002025,CUST002025,2023-07-17 17:13:52,UNKNOWN,,50807.27,216.5,43.92,0.909,128.745,4.765,0,0,Good,2023-07-17 17:15:52,Invalid or missing units consumed
RD00041815,MTR000231,CUST000231,2024-03-02 10:03:10,Automatic,,307924.19,234.8,,0.0,6.949,0.311,0,0,Good,2024-03-02 10:27:10,Invalid or missing units consumed
RD00007212,MTR002439,CUST002439,2022-06-24 02:35:51,Automatic,,,222.5,2.36,0.933,1.398,0.0537,,0,invalid,2022-06-24 02:56:51,Invalid or missing units consumed
RD00032203,MTR004974,CUST004974,2024-08-18 09:52:32,Automatic,,424516.47,,14.35,0.724,16.901,0.3597,0,0,Good,2024-08-18 10:15:32,Invalid or missing units consumed
RD00047521,MTR000394,CUST000394,2022-05-25 11:30:34,Manual,,327196.65,234.9,39.01,0.0,0.66,,0,0,Good,2022-05-25 11:57:34,Invalid or missing units consumed
RD00043328,MTR001224,CUST001224,2023-04-20 00:09:17,Automatic,,264169.8,215.8,15.65,0.733,1.326,0.0526,0,0,Good,,Invalid or missing units consumed
RD00048898,MTR001441,CUST001441,2023-06-07 20:51:14,Automatic,,387747.47,237.8,35.1,0.922,3.56,0.2448,0,0,Good,2023-06-07 21:00:14,Invalid or missing units consumed
RD00047888,MTR002082,CUST002082,2023-07-01 00:43:31,Automatic,,354678.79,230.2,49.06,0.759,519.456,36.3974,0,0,Good,2023-07-01 01:10:31,Invalid or missing units consumed
RD00001540,MTR000974,CUST000974,,Revised,,393836.76,223.6,16.08,0.721,1.157,0.0333,0,0,Good,2023-03-01 20:24:22,Invalid or missing units consumed
RD00004979,MTR002647,CUST002647,,Automatic,,115824.67,232.5,36.24,,4.809,0.1452,0,0,Good,2023-08-26 19:03:37,Invalid or missing units consumed
RD00034133,MTR003979,CUST003979,2023-03-02 21:43:14,Manual,,46984.44,234.3,,0.71,1.837,0.1723,0,0,Good,2023-03-02 21:59:14,Invalid or missing units consumed
RD00022408,MTR003920,CUST003920,2024-01-31 13:29:48,Automatic,,87191.66,241.6,14.69,0.722,5.857,0.1597,0,1,Good,2024-01-31 13:59:48,Invalid or missing units consumed
RD00035327,MTR003396,CUST003396,,Automatic,,30934.11,244.5,49.43,0.963,52.098,2.5414,0,0,Good,2022-11-07 07:34:52,Invalid or missing units consumed
RD00042871,MTR001781,CUST001781,2022-04-06 20:29:53,AUTOMATIC,,413471.43,230.4,19.23,0.968,7.309,0.4758,0,UNKNOWN,Good,2022-04-06 20:33:53,Invalid or missing units consumed
RD00024506,MTR001981,CUST001981,,Automatic,,32801.51,212.9,24.11,0.708,,0.9812,0,0,Good,2023-06-14 22:12:52,Invalid or missing units consumed
RD00043057,MTR003907,CUST003907,2022-10-29 06:18:09,Automatic,,177015.36,209.3,38.64,0.718,3.421,,0,0,Good,2022-10-29 06:44:09,Invalid or missing units consumed
RD00012648,MTR003937,CUST003937,2022-04-05 12:10:03,Automatic,,493630.55,230.4,20.56,0.937,7.183,0.4426,0,0,Good,,Invalid or missing units consumed
RD00001905,MTR000542,CUST000542,2024-11-22 13:39:24,Automatic,,34562.79,226.1,15.53,0.992,4.344,0.1216,0,0,Good,2024-11-22 14:06:24,Invalid or missing units consumed
RD00038547,MTR003931,CUST003931,,Estimated,,36282.0,231.4,21.5,0.797,330.895,14.6139,0,0,Good,2023-02-21 14:25:14,Invalid or missing units consumed
RD00036920,MTR000160,CUST000160,2022-08-20 05:07:36,Automatic,,304751.84,226.6,,0.759,8.369,,0,1,Estimated,2022-08-20 05:08:36,Invalid or missing units consumed
RD00041130,MTR000111,CUST000111,2024-10-17 18:58:46,Automatic,,258.5113,225.4,24.34,0.915,6.182,0.5598,0,0,Good,2024-10-17 19:09:46,Invalid or missing units consumed
RD00019630,MTR004784,-,2024-05-25 01:11:30,Automatic,,40470.52,230.8,12.78,0.828,7.556,0.4562,0,0,Estimated,,Invalid or missing units consumed
RD00014756,MTR003317,CUST003317,2022-07-31 01:59:24,Automatic,,267698.48,235.3,22.41,0.969,6.132,0.2622,1,0,Good,2022-07-31 02:22:24,Invalid or missing units consumed
RD00003563,MTR001026,CUST001026,2023-09-02 16:20:33,Automatic,,286201.43,227.4,21.49,0.868,53.857,2.9215,0,0,GOOD,2023-09-02 16:34:33,Invalid or missing units consumed
RD00049957,MTR002929,CUST002929,,Automatic,,301175.64,238.9,15.04,0.931,5.037,0.4101,1,0,Good,,Invalid or missing units consumed
RD00028222,MTR001843,CUST001843,2022-04-26 01:36:37,Automatic,,154621.6,232.7,38.03,0.911,3.478,0.1733,0,0,Good,2022-04-26 02:00:37,Invalid or missing units consumed
RD00047759,MTR002996,CUST002996,2022-09-21 11:48:41,Manual,,315343.67,228.4,42.46,0.911,10.22,0.2592,0,0,Good,,Invalid or missing units consumed
RD00004998,MTR001270,CUST001270,2023-07-26 21:30:31,Automatic,,260243.84,228.2,4.82,,1105.456,44.9377,0,1,Good,2023-07-26 21:35:31,Invalid or missing units consumed
RD00024159,0,CUST004845,2024-03-09 05:07:20,Automatic,,470932.57,227.3,46.25,0.886,4.901,,0,0,Good,2024-03-09 05:27:20,Invalid or missing units consumed
RD00001498,MTR001685,CUST001685,2024-09-17 06:14:14,Automatic,,10728.31,210.2,33.68,0.974,12.88,1.3155,0,,Good,2024-09-17 06:39:14,Invalid or missing units consumed
RD00009916,MTR002011,CUST002011,2024-12-18 18:09:39,Automatic,,367555.69,,45.44,0.878,14.084,0.6003,UNKNOWN,0,Good,,Invalid or missing units consumed
RD00029255,MTR004026,CUST004026,2023-04-12 07:24:04,Manual,,223630.36,249.9,46.65,0.733,6.777,0.377,0,0,Suspect,2023-04-12 07:44:04,Invalid or missing units consumed
RD00025738,MTR003340,CUST003340,,Automatic,,12162.36,230.6,0.0,0.983,31.151,1.8452,0,0,Good,2024-02-29 04:43:08,Invalid or missing units consumed
RD00036099,MTR000099,CUST000099,,Manual,,148850.95,218.3,13.25,0.832,4.287,0.4543,0,0,Good,2024-07-31 01:03:45,Invalid or missing units consumed
RD00045869,MTR003984,CUST003984,2024-04-20 19:16:58,Automatic,,,237.3,43.41,,8.888,0.3787,0,0,Good,2024-04-20 19:25:58,Invalid or missing units consumed
RD00046986,MTR001253,CUST001253,2023-11-24 06:00:26,Automatic,,,265.1,39.52,0.701,542.065,29.3906,0,0,Invalid,2023-11-24 06:02:26,Invalid or missing units consumed
RD00011533,MTR099565,CUST004260,2023-06-19 05:08:53,Automatic,,92580.84,219.9,1.05,0.71,33.768,1.1209,0,0,Good,2023-06-19 05:27:53,Invalid or missing units consumed
RD00047406,MTR002375,CUST002375,2022-08-10 14:46:37,Automatic,,72500.68,223.9,12.34,0.731,20.612,1.7044,0,0,GOOD,2022-08-10 15:14:37,Invalid or missing units consumed
RD00020884,MTR002563,CUST002563,,Estimated,,393428.99,235.9,42.74,0.839,24.998,1.7514,0,0,Good,2024-06-18 08:03:58,Invalid or missing units consumed
RD00018651,,0,,Manual,,427206.09,241.0,1.46,0.998,9.178,0.6018,0,0,Suspect,2024-12-03 12:40:50,Invalid or missing units consumed
RD00045416,MTR004351,CUST004351,2022-01-19 22:02:13,Automatic,,89936.55,237.8,21.36,0.859,1.075,0.0455,0,UNKNOWN,Good,2022-01-19 22:04:13,Invalid or missing units consumed
RD00014572,MTR001959,CUST001959,2022-03-20 12:29:32,Automatic,,209666.87,225.0,34.55,0.736,312.499,15.6834,0,0,Estimated,2022-03-20 12:34:32,Invalid or missing units consumed
RD00016549,MTR099873,CUST004466,2023-09-08 05:45:31,Automatic,,27755.71,0,44.16,0.968,0.595,0.0295,0,0,Good,2023-09-08 05:46:31,Invalid or missing units consumed
RD00034089,MTR001176,CUST001176,2024-10-11 10:28:12,Automatic,,324183.82,216.2,15.85,0.988,0.0,1.1647,0,0,Good,2024-10-11 10:56:12,Invalid or missing units consumed
RD00032868,MTR000879,CUST000879,,Automatic,,246254.58,221.6,36.13,0.957,0.602,0.0269,0,0,Estimated,2023-11-21 17:36:53,Invalid or missing units consumed
RD00016622,MTR004165,CUST004165,2022-03-24 04:51:27,Automatic,,157400.71,226.6,43.85,0.917,1.271,0.0771,-,0,Good,2022-03-24 05:11:27,Invalid or missing units consumed
RD00019979,MTR002401,CUST002401,2022-12-19 05:23:01,Automatic,,157009.1,240.3,43.49,0.717,0.912,,0,0,Good,2022-12-19 05:48:01,Invalid or missing units consumed
RD00043465,MTR002648,CUST002648,2024-01-05 16:43:04,UNKNOWN,,202874.34,225.6,36.6,0.942,7.606,0.2227,0,0,Good,2024-01-05 17:10:04,Invalid or missing units consumed
RD00020439,MTR003451,CUST003451,2022-11-08 07:51:31,Estimated,,161176.11,215.2,38.39,0.785,56.302,2.1194,0,1,Good,2022-11-08 08:15:31,Invalid or missing units consumed
RD00013646,MTR099140,CUST004372,2024-11-22 20:13:40,Automatic,,53882.93,242.2,31.19,0.795,9.009,0.6449,,0,,2024-11-22 20:33:40,Invalid or missing units consumed
RD00020174,MTR002228,CUST002228,2022-03-10 10:25:55,Automatic,,299289.54,252.9,25.2,,210.071,12.6534,,0,Good,,Invalid or missing units consumed
RD00038914,MTR004690,CUST004690,,Revised,,355316.89,237.5,23.1,0.913,6.78,0.2887,0,,Good,2022-07-14 01:48:50,Invalid or missing units consumed
RD00007144,MTR001975,CUST001975,2022-09-07 18:26:09,Automatic,,210295.45,242.0,42.91,0.987,106.842,6.6478,0,0,Good,2022-09-07 18:50:09,Invalid or missing units consumed
RD00011782,MTR001398,CUST001398,2022-05-16 15:20:58,Manual,,410173.82,252.1,13.61,0.86,0.642,0.063,0,0,Good,2022-05-16 15:44:58,Invalid or missing units consumed
RD00024811,MTR002964,CUST002964,2024-06-03 02:29:30,Automatic,,383228.96,238.3,35.8,0.745,7.148,0.128,0,0,Good,2024-06-03 02:40:30,Invalid or missing units consumed
RD00039760,MTR001027,CUST001027,2024-10-08 14:01:27,Automatic,,391940.28,227.8,36.11,,0.96,0.0216,0,0,,2024-10-08 14:17:27,Invalid or missing units consumed
RD00039991,MTR000037,CUST000037,2024-10-30 14:22:54,Automatic,,82048.6,223.1,21.36,0.975,7.301,0.4143,0,0,Good,2024-10-30 14:45:54,Invalid or missing units consumed
RD00030616,MTR000365,CUST000365,2022-07-19 04:34:42,Automatic,,304196.54,245.9,7.21,,3.129,0.2501,0,0,Estimated,2022-07-19 05:03:42,Invalid or missing units consumed
RD00017084,MTR002268,CUST002268,2023-07-28 09:27:56,Automatic,,213925.44,228.4,16.97,0.788,14.749,0.688,0,0,Good,2023-07-28 09:35:56,Invalid or missing units consumed
RD00025269,MTR004579,CUST004579,2023-01-27 15:39:34,Automatic,,415022.85,237.4,19.84,0.965,6.169,0.4885,0,0,Good,2023-01-27 15:50:34,Invalid or missing units consumed
RD00034923,MTR004651,0,,Automatic,,201224.69,226.1,34.8,0.77,648.85,31.8828,0,0,Good,2022-03-07 18:02:58,Invalid or missing units consumed
RD00023689,MTR099500,CUST000549,2024-11-06 11:46:28,Automatic,,109711.77,237.7,44.56,0.87,7.911,0.2686,0,0,Good,2024-11-06 12:02:28,Invalid or missing units consumed
RD00031964,MTR099450,CUST002799,2023-07-20 01:38:45,Automatic,,,216.6,22.92,0.757,59.165,,0,0,Good,2023-07-20 01:57:45,Invalid or missing units consumed
RD00013007,MTR000048,CUST000048,2024-09-29 17:45:52,Estimated,,168752.33,232.6,41.17,0.947,34.109,1.5248,0,0,-,2024-09-29 18:12:52,Invalid or missing units consumed
RD00033565,MTR003924,CUST003924,2023-02-09 13:05:53,Manual,,171271.35,232.4,27.03,0.735,0.871,0.0,0,0,Good,2023-02-09 13:08:53,Invalid or missing units consumed
RD00034027,MTR004117,CUST004117,2024-04-15 21:33:50,Automatic,,308135.17,240.1,34.99,0.861,,0.7317,0,0,Estimated,2024-04-15 21:50:50,Invalid or missing units consumed
RD00001769,MTR001138,CUST001138,2024-06-28 23:19:21,Automatic,,45827.41,232.3,2.73,0.975,3.836,0.2854,0,0,Invalid,,Invalid or missing units consumed
RD00039972,MTR002131,CUST002131,2022-05-11 15:35:53,Estimated,,273904.18,220.6,41.99,0.827,42.237,2.3913,0,0,Good,2022-05-11 16:02:53,Invalid or missing units consumed
RD00014828,MTR000891,CUST000891,2023-02-04 19:25:15,Estimated,,,229.6,5.45,0.939,11.983,0.6137,0,0,Good,2023-02-04 19:31:15,Invalid or missing units consumed
RD00021567,MTR004553,CUST004553,2022-06-03 14:29:58,Manual,,321557.73,223.8,22.17,0.812,11.188,0.9941,0,0,Good,2022-06-03 14:42:58,Invalid or missing units consumed
RD00021888,MTR001859,CUST001859,2022-10-10 00:57:06,Manual,,484792.51,229.6,39.35,0.99,4.544,0.3674,1,0,UNKNOWN,2022-10-10 01:05:06,Invalid or missing units consumed
RD00009337,MTR004753,CUST004753,2024-02-21 18:34:23,Automatic,,12652.9,225.0,30.94,0.724,22.739,1.6886,0,0,Good,2024-02-21 18:52:23,Invalid or missing units consumed
RD00022386,MTR004079,CUST004079,2022-08-21 09:47:06,Automatic,,301732.86,244.8,,0.86,3.877,0.2764,0,0,Good,,Invalid or missing units consumed
RD00037397,MTR099204,CUST004689,2024-10-21 21:00:58,Automatic,,200129.54,220.3,6.89,0.788,23.06,1.6002,0,0,Invalid,2024-10-21 21:02:58,Invalid or missing units consumed
RD00040035,-,CUST000981,2022-05-20 03:03:33,Automatic,,308448.36,,6.27,0.774,386.22,9.9989,0,0,Good,2022-05-20 03:08:33,Invalid or missing units consumed
RD00032578,MTR002375,CUST002375,2023-12-22 16:58:11,Automatic,,338793.91,230.0,45.8,0.973,9.224,1.0219,0,0,Good,2023-12-22 17:20:11,Invalid or missing units consumed
RD00013068,MTR000902,CUST000902,2022-05-26 18:43:47,Manual,,181116.7,-,7.81,0.749,9.227,0.5035,0,0,,,Invalid or missing units consumed
RD00006689,MTR004042,CUST004042,2023-12-21 15:35:17,Automatic,,97154.65,226.3,4.06,0.991,3.221,0.1103,-,0,Good,2023-12-21 15:47:17,Invalid or missing units consumed
RD00029327,MTR001833,CUST001833,2023-06-23 09:19:12,Automatic,,498208.2,254.8,32.49,0.937,1224.059,52.9622,0,0,Good,2023-06-23 09:29:12,Invalid or missing units consumed
RD00018171,MTR002984,CUST002984,2023-03-15 21:32:40,Estimated,,162909.89,220.1,9.45,0.989,6.077,0.1845,0,0,Good,2023-03-15 21:47:40,Invalid or missing units consumed
RD00037148,MTR002998,CUST002998,2023-04-01 17:54:42,Automatic,,388010.01,230.6,5.29,0.799,1087.373,62.1695,0,0,Good,2023-04-01 18:18:42,Invalid or missing units consumed
RD00004189,MTR001008,CUST001008,,Automatic,,412710.66,222.3,39.18,0.9,3.088,0.207,0,0,Good,2022-07-30 06:50:36,Invalid or missing units consumed
RD00033968,MTR099672,CUST003197,2022-06-25 00:30:25,Automatic,,474370.79,226.6,,0.834,1.799,0.1228,0,0,Good,2022-06-25 00:47:25,Invalid or missing units consumed
RD00006266,MTR004243,CUST004243,2023-07-29 17:04:53,Automatic,,401617.34,221.1,48.58,0.706,66.035,4.5481,0,0,Good,2023-07-29 17:13:53,Invalid or missing units consumed
RD00030417,MTR002668,CUST002668,2022-11-05 16:57:49,Automatic,,314313.67,237.5,36.59,0.741,65.922,5.1953,0,0,,2022-11-05 17:08:49,Invalid or missing units consumed
RD00013926,MTR004938,CUST004938,2022-09-25 20:36:56,automatic,,356417.23,222.6,24.7,0.939,18.146,0.9916,0,0,Good,2022-09-25 20:46:56,Invalid or missing units consumed
RD00034213,MTR001876,CUST001876,2023-07-01 15:00:47,Automatic,,250023.75,246.8,2.42,0.965,5.261,0.3837,0,0,Good,2023-07-01 15:24:07,Invalid or missing units consumed
RD00032180,MTR002587,CUST002587,2023-04-09 02:50:30,Automatic,,464762.25,226.0,36.68,0.873,4.478,,0,0,Good,2023-04-09 02:56:30,Invalid or missing units consumed
RD00015728,MTR002342,CUST002342,2022-03-17 16:25:53,automatic,,31611.98,230.3,5.35,0.915,5.298,0.4818,0,0,Good,2022-03-17 16:54:53,Invalid or missing units consumed
RD00043724,MTR000136,CUST000136,2023-08-10 22:48:17,Automatic,,40328.48,228.0,29.86,0.779,28.393,0.8867,0,0,Good,2023-08-10 23:14:17,Invalid or missing units consumed
RD00012835,MTR004919,CUST004919,2022-06-29 13:00:00,Manual,,441745.59,224.1,48.88,0.703,9.618,,0,1,Good,2022-06-29 13:14:00,Invalid or missing units consumed
RD00011330,MTR002122,CUST002122,2023-01-26 04:09:31,Manual,,452160.19,226.1,20.29,0.926,20.267,0.0,0,0,,2023-01-26 04:16:31,Invalid or missing units consumed
RD00024210,MTR004208,CUST004208,2024-10-06 19:43:05,manual,,110401.52,247.9,9.89,0.918,148.636,9.2219,0,0,Good,2024-10-06 20:04:05,Invalid or missing units consumed
RD00001272,MTR099860,CUST003154,2024-09-25 01:35:33,Manual,,278235.48,223.6,11.33,0.875,2.641,0.3148,0,0,Good,2024-09-25 02:01:33,Invalid or missing units consumed
RD00017024,MTR001122,CUST001122,,Automatic,,285083.27,,,0.861,2.716,0.2369,0,0,Estimated,2023-04-20 23:15:58,Invalid or missing units consumed
RD00047600,MTR002971,CUST002971,2022-03-11 08:29:51,Revised,,43575.03,236.5,3.18,0.933,4.169,0.317,0,0,Good,2022-03-11 08:49:51,Invalid or missing units consumed
RD00030452,MTR000899,CUST000899,2024-08-23 08:23:48,Automatic,,152628.36,233.0,39.13,0.841,12.769,0.6411,0,0,Good,2024-08-23 08:39:48,Invalid or missing units consumed
RD00027385,MTR004184,CUST004184,2024-05-18 11:08:14,Automatic,,246013.89,240.9,20.71,0.764,9.556,0.3983,0,1,Good,2024-05-18 11:11:14,Invalid or missing units consumed
RD00010401,MTR000016,CUST000016,2023-04-20 09:58:20,AUTOMATIC,,389455.07,226.0,0.58,0.799,4.713,0.4224,0,0,Good,2023-04-20 10:06:20,Invalid or missing units consumed
RD00045573,MTR001137,CUST001137,2023-04-29 11:13:07,Automatic,,363085.96,207.8,2.93,0.775,2.295,0.2413,0,0,Good,2023-04-29 11:27:07,Invalid or missing units consumed
RD00029759,MTR002582,CUST002582,2022-02-07 18:11:54,Automatic,,456813.17,225.3,8.53,0.0,,1.9905,0,0,Good,2022-02-07 18:23:54,Invalid or missing units consumed
RD00015852,MTR001547,CUST001547,2023-03-22 09:51:34,Automatic,,111349.99,233.4,11.74,,5.079,0.1429,0,0,Good,2023-03-22 10:14:34,Invalid or missing units consumed
RD00014421,MTR001523,CUST001523,2023-04-01 13:41:36,Manual,,319101.08,214.6,49.0,0.801,1.249,0.0666,0,0,Good,2023-04-01 14:09:36,Invalid or missing units consumed
RD00039308,MTR002235,CUST002235,2022-10-23 00:53:44,Automatic,,465568.32,241.3,49.12,0.946,1.005,0.0673,0,0,Good,2022-10-23 00:58:44,Invalid or missing units consumed
RD00031529,0,,2022-05-02 21:58:46,Revised,,109093.56,232.1,23.92,0.87,10.75,,0,0,Good,2022-05-02 22:16:46,Invalid or missing units consumed
RD00017442,MTR099174,CUST001681,2023-06-03 09:48:12,Automatic,,209340.95,239.0,25.56,0.911,30.85,1.2725,0,0,Good,2023-06-03 10:00:12,Invalid or missing units consumed
RD00044876,MTR001744,CUST001744,2022-09-23 13:25:28,Automatic,,443849.73,213.7,28.43,0.988,81.263,5.8325,0,0,Good,2022-09-23 13:54:28,Invalid or missing units consumed
RD00046139,MTR001847,CUST001847,2024-09-28 00:07:11,Automatic,,144841.48,231.4,,0.79,8.354,0.3809,0,0,Good,2024-09-28 00:15:11,Invalid or missing units consumed
RD00028407,MTR003315,CUST003315,2022-06-04 08:45:53,Automatic,,378433.8,225.4,10.08,0.984,5.626,0.3524,0,0,Good,2022-06-04 08:55:53,Invalid or missing units consumed
